k,C_measured,C_HL_prediction
2941,0.539004,0.531369
2942,1.214197,1.193617
2943,0.819630,0.810168
2944,0.517524,0.508646
2945,2.017269,1.980559
2946,0.407140,0.398601
2947,1.611471,1.590951
2948,1.179633,1.152929
2949,0.548870,0.537447
2950,1.290187,1.266988
2951,0.532164,0.524572
2952,1.482826,1.448050
2953,0.838467,0.824769
2954,0.677793,0.668009
2955,1.629542,1.589973
2956,0.548359,0.533672
2957,0.810914,0.795918
2958,1.095716,1.073152
2959,0.734988,0.727716
2960,1.461431,1.436781
2961,0.705751,0.692702
2962,0.808186,0.795373
2963,1.247675,1.232778
2964,0.604254,0.593249
2965,1.229306,1.203805
2966,0.654630,0.645792
2967,0.954903,0.933366
2968,1.640495,1.608376
2969,0.449781,0.444985
2970,2.309402,2.267263
2971,0.404051,0.397955
2972,0.834653,0.823950
2973,1.201625,1.183705
2974,0.463803,0.454803
2975,2.482691,2.436667
2976,0.443409,0.435974
2977,1.709495,1.693012
2978,0.806844,0.795365
2979,0.424486,0.414378
2980,1.635445,1.610863
2981,0.639159,0.633368
2982,1.461814,1.438662
2983,0.928223,0.916973
2984,0.541881,0.532519
2985,1.438289,1.416980
2986,0.511877,0.503214
2987,1.189563,1.166367
2988,0.948851,0.936075
2989,0.758833,0.743766
2990,1.634720,1.608769
2991,0.538386,0.531309
2992,1.234995,1.214798
2993,0.893851,0.876549
2994,0.603572,0.591668
2995,1.214389,1.195977
2996,0.878593,0.861808
2997,0.928116,0.911248
2998,1.227708,1.206100
2999,0.517907,0.508548
3000,1.210127,1.190906
